"Povpreène meseène plaèe in indeksi povpreènih meseènih plaè po dejavnostih [SKD 2008], Slovenija, meseèno"

"SKD DEJAVNOST","MESEC","Bruto plaèa Plaèa za zadnjih 12 mesecev [EUR]","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR]"
"N80 Varovanje in poizvedovalne dejavnosti","2015M12",946.77,665.82
"N80 Varovanje in poizvedovalne dejavnosti","2016M12",989.24,688.40
"N80 Varovanje in poizvedovalne dejavnosti","2017M12",1027.06,714.34
"N80 Varovanje in poizvedovalne dejavnosti","2018M12",1091.64,752.05
"N81 Dejavnost oskrbe stavb in okolice","2014M12",859.83,609.67
"N81 Dejavnost oskrbe stavb in okolice","2015M12",860.50,607.68
"N81 Dejavnost oskrbe stavb in okolice","2016M12",865.26,610.35
"N81 Dejavnost oskrbe stavb in okolice","2017M12",878.86,619.04
"N81 Dejavnost oskrbe stavb in okolice","2018M12",922.71,646.00
"N82 Pisarniške in spremljajoèe poslovne storitvene dejavnosti","2014M12",1275.69,839.72
"N82 Pisarniške in spremljajoèe poslovne storitvene dejavnosti","2015M12",1310.63,854.73
"N82 Pisarniške in spremljajoèe poslovne storitvene dejavnosti","2016M12",1332.35,872.69
"N82 Pisarniške in spremljajoèe poslovne storitvene dejavnosti","2017M12",1359.75,896.47
"N82 Pisarniške in spremljajoèe poslovne storitvene dejavnosti","2018M12",1399.88,923.16
"O84 Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti","2014M12",1752.55,1148.68
"O84 Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti","2015M12",1788.96,1167.49
"O84 Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti","2016M12",1873.02,1215.48
"O84 Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti","2017M12",1948.06,1261.79
"O84 Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti","2018M12",2010.49,1295.86
"P85 Izobraževanje","2014M12",1651.75,1091.08
"P85 Izobraževanje","2015M12",1647.85,1086.62
"P85 Izobraževanje","2016M12",1688.45,1108.29
"P85 Izobraževanje","2017M12",1716.94,1125.58
"P85 Izobraževanje","2018M12",1732.29,1133.51
"Q86 Zdravstvo","2014M12",1915.30,1218.17
"Q86 Zdravstvo","2015M12",1923.04,1219.28
"Q86 Zdravstvo","2016M12",1989.04,1256.37
"Q86 Zdravstvo","2017M12",2051.49,1302.11
"Q86 Zdravstvo","2018M12",2118.58,1337.29
"Q87 Socialno varstvo z nastanitvijo","2014M12",1191.32,816.21
"Q87 Socialno varstvo z nastanitvijo","2015M12",1184.94,813.60
"Q87 Socialno varstvo z nastanitvijo","2016M12",1211.88,828.21
"Q87 Socialno varstvo z nastanitvijo","2017M12",1250.60,850.87
"Q87 Socialno varstvo z nastanitvijo","2018M12",1293.58,875.93
"Q88 Socialno varstvo brez nastanitve","2014M12",1382.58,931.18
"Q88 Socialno varstvo brez nastanitve","2015M12",1395.54,937.28
"Q88 Socialno varstvo brez nastanitve","2016M12",1416.10,948.33
"Q88 Socialno varstvo brez nastanitve","2017M12",1443.01,964.85
"Q88 Socialno varstvo brez nastanitve","2018M12",1470.74,979.97
"R90 Kulturne in razvedrilne dejavnosti","2014M12",1633.41,1068.75
"R90 Kulturne in razvedrilne dejavnosti","2015M12",1633.24,1067.46
"R90 Kulturne in razvedrilne dejavnosti","2016M12",1708.06,1108.32
"R90 Kulturne in razvedrilne dejavnosti","2017M12",1728.67,1124.85
"R90 Kulturne in razvedrilne dejavnosti","2018M12",1736.14,1129.19
"R91 Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejavnosti","2014M12",1611.05,1070.97
"R91 Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejavnosti","2015M12",1612.26,1070.37
"R91 Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejavnosti","2016M12",1654.58,1090.58
"R91 Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejavnosti","2017M12",1697.85,1113.09
"R91 Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejavnosti","2018M12",1726.47,1128.10
"R92 Prirejanje iger na sreèo","2014M12",1894.77,1223.18
"R92 Prirejanje iger na sreèo","2015M12",1880.89,1213.73
"R92 Prirejanje iger na sreèo","2016M12",1938.59,1245.88
"R92 Prirejanje iger na sreèo","2017M12",1943.56,1258.51
"R92 Prirejanje iger na sreèo","2018M12",2010.04,1296.16
"R93 Športne in druge dejavnosti za prosti èas","2014M12",1339.71,890.48
"R93 Športne in druge dejavnosti za prosti èas","2015M12",1314.59,872.29
"R93 Športne in druge dejavnosti za prosti èas","2016M12",1293.87,861.58
"R93 Športne in druge dejavnosti za prosti èas","2017M12",1327.65,884.12
"R93 Športne in druge dejavnosti za prosti èas","2018M12",1348.63,899.56
"S94 Dejavnost èlanskih organizacij","2014M12",1667.05,1069.81
"S94 Dejavnost èlanskih organizacij","2015M12",1643.78,1057.74
"S94 Dejavnost èlanskih organizacij","2016M12",1636.28,1055.60
"S94 Dejavnost èlanskih organizacij","2017M12",1644.90,1066.85
"S94 Dejavnost èlanskih organizacij","2018M12",1651.02,1070.61
"S95 Popravila raèunalnikov in izdelkov za široko rabo","2014M12",1276.73,863.64
"S95 Popravila raèunalnikov in izdelkov za široko rabo","2015M12",1242.94,840.54
"S95 Popravila raèunalnikov in izdelkov za široko rabo","2016M12",1234.25,833.90
"S95 Popravila raèunalnikov in izdelkov za široko rabo","2017M12",1266.18,859.71
"S95 Popravila raèunalnikov in izdelkov za široko rabo","2018M12",1266.04,860.11
"S96 Druge storitvene dejavnosti","2014M12",1032.82,709.09
"S96 Druge storitvene dejavnosti","2015M12",1021.88,701.35
"S96 Druge storitvene dejavnosti","2016M12",1023.57,705.01
"S96 Druge storitvene dejavnosti","2017M12",1042.46,718.80
"S96 Druge storitvene dejavnosti","2018M12",1064.23,732.90
