"Povpreène meseène plaèe in indeksi povpreènih meseènih plaè po dejavnostih [SKD 2008], Slovenija, meseèno"

"SKD DEJAVNOST","MESEC","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR]"
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO","2014M12",880.44
"B RUDARSTVO","2014M12",1357.15
"C PREDELOVALNE DEJAVNOSTI","2014M12",973.76
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO","2014M12",1440.83
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA","2014M12",975.19
"F GRADBENIŠTVO","2014M12",805.14
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL","2014M12",911.23
"H PROMET IN SKLADIŠÈENJE","2014M12",962.66
"I GOSTINSTVO","2014M12",740.62
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI","2014M12",1298.65
"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI","2014M12",1362.22
"L POSLOVANJE Z NEPREMIÈNINAMI","2014M12",972.06
"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI","2014M12",1090.53
"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI","2014M12",703.56
"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI","2014M12",1148.68
"P IZOBRAŽEVANJE","2014M12",1091.08
"Q ZDRAVSTVO IN SOCIALNO VARSTVO","2014M12",1101.04
"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI","2014M12",1066.38
"S DRUGE DEJAVNOSTI","2014M12",906.11
