"Povpreène meseène plaèe in indeksi povpreènih meseènih plaè po dejavnostih [SKD 2008], Slovenija, meseèno"

"SKD DEJAVNOST","MESEC","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR]"
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO","2018M12",926.93
"B RUDARSTVO","2018M12",1423.64
"C PREDELOVALNE DEJAVNOSTI","2018M12",1084.93
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO","2018M12",1581.90
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA","2018M12",1069.95
"F GRADBENIŠTVO","2018M12",864.41
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL","2018M12",1006.36
"H PROMET IN SKLADIŠÈENJE","2018M12",1005.48
"I GOSTINSTVO","2018M12",794.66
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI","2018M12",1410.99
"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI","2018M12",1531.98
"L POSLOVANJE Z NEPREMIÈNINAMI","2018M12",1002.27
"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI","2018M12",1198.99
"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI","2018M12",779.60
"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI","2018M12",1295.86
"P IZOBRAŽEVANJE","2018M12",1133.51
"Q ZDRAVSTVO IN SOCIALNO VARSTVO","2018M12",1202.32
"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI","2018M12",1113.63
"S DRUGE DEJAVNOSTI","2018M12",906.12
