"Povpreène meseène plaèe in indeksi povpreènih meseènih plaè po dejavnostih [SKD 2008], Slovenija, meseèno"

"SKD DEJAVNOST","MESEC","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR]"
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO","2015M12",882.98
"B RUDARSTVO","2015M12",1278.15
"C PREDELOVALNE DEJAVNOSTI","2015M12",991.04
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO","2015M12",1438.10
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA","2015M12",987.21
"F GRADBENIŠTVO","2015M12",802.59
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL","2015M12",920.95
"H PROMET IN SKLADIŠÈENJE","2015M12",963.24
"I GOSTINSTVO","2015M12",731.45
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI","2015M12",1310.59
"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI","2015M12",1386.88
"L POSLOVANJE Z NEPREMIÈNINAMI","2015M12",964.64
"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI","2015M12",1095.77
"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI","2015M12",704.55
"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI","2015M12",1167.49
"P IZOBRAŽEVANJE","2015M12",1086.62
"Q ZDRAVSTVO IN SOCIALNO VARSTVO","2015M12",1101.76
"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI","2015M12",1059.46
"S DRUGE DEJAVNOSTI","2015M12",888.54
