"Povpreène meseène plaèe in indeksi povpreènih meseènih plaè po dejavnostih [SKD 2008], Slovenija, meseèno"

"SKD DEJAVNOST","MESEC","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR]"
"C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa","2016M12",932.05
"C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa","2017M12",960.25
"C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa","2018M12",985.07
"C19 Proizvodnja koksa in naftnih derivatov","2014M12",1035.74
"C19 Proizvodnja koksa in naftnih derivatov","2015M12",836.05
"C19 Proizvodnja koksa in naftnih derivatov","2016M12",z
"C19 Proizvodnja koksa in naftnih derivatov","2017M12",z
"C19 Proizvodnja koksa in naftnih derivatov","2018M12",z
"C20 Proizvodnja kemikalij, kemiènih izdelkov","2014M12",1120.13
"C20 Proizvodnja kemikalij, kemiènih izdelkov","2015M12",1129.46
"C20 Proizvodnja kemikalij, kemiènih izdelkov","2016M12",1142.11
"C20 Proizvodnja kemikalij, kemiènih izdelkov","2017M12",1188.54
"C20 Proizvodnja kemikalij, kemiènih izdelkov","2018M12",1218.95
"C21 Proizvodnja farmacevtskih surovin in preparatov","2014M12",1821.83
"C21 Proizvodnja farmacevtskih surovin in preparatov","2015M12",1830.66
"C21 Proizvodnja farmacevtskih surovin in preparatov","2016M12",1855.31
"C21 Proizvodnja farmacevtskih surovin in preparatov","2017M12",1905.71
"C21 Proizvodnja farmacevtskih surovin in preparatov","2018M12",1958.48
"C22 Proizvodnja izdelkov iz gume in plastiènih mas","2014M12",966.39
"C22 Proizvodnja izdelkov iz gume in plastiènih mas","2015M12",984.45
"C22 Proizvodnja izdelkov iz gume in plastiènih mas","2016M12",998.40
"C22 Proizvodnja izdelkov iz gume in plastiènih mas","2017M12",1025.63
"C22 Proizvodnja izdelkov iz gume in plastiènih mas","2018M12",1064.94
"C23 Proizvodnja nekovinskih mineralnih izdelkov","2014M12",988.68
"C23 Proizvodnja nekovinskih mineralnih izdelkov","2015M12",1009.06
"C23 Proizvodnja nekovinskih mineralnih izdelkov","2016M12",1017.27
"C23 Proizvodnja nekovinskih mineralnih izdelkov","2017M12",1063.46
"C23 Proizvodnja nekovinskih mineralnih izdelkov","2018M12",1102.28
"C24 Proizvodnja kovin","2014M12",1015.39
"C24 Proizvodnja kovin","2015M12",1049.69
"C24 Proizvodnja kovin","2016M12",1057.69
"C24 Proizvodnja kovin","2017M12",1113.18
"C24 Proizvodnja kovin","2018M12",1152.80
"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav","2014M12",920.99
"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav","2015M12",936.16
"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav","2016M12",951.63
"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav","2017M12",991.04
"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav","2018M12",1021.89
"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov","2014M12",920.93
"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov","2015M12",950.78
"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov","2016M12",974.03
"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov","2017M12",1077.57
"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov","2018M12",1167.58
"C27 Proizvodnja elektriènih naprav","2014M12",918.59
"C27 Proizvodnja elektriènih naprav","2015M12",933.46
"C27 Proizvodnja elektriènih naprav","2016M12",963.95
