"Povpreène meseène plaèe in indeksi povpreènih meseènih plaè po dejavnostih [SKD 2008], Slovenija, meseèno"

"SKD DEJAVNOST","MESEC","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR]"
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO","2017M12",885.06
"B RUDARSTVO","2017M12",1331.09
"C PREDELOVALNE DEJAVNOSTI","2017M12",1049.16
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO","2017M12",1541.52
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA","2017M12",1043.01
"F GRADBENIŠTVO","2017M12",835.13
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL","2017M12",969.84
"H PROMET IN SKLADIŠÈENJE","2017M12",978.47
"I GOSTINSTVO","2017M12",761.60
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI","2017M12",1361.47
"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI","2017M12",1471.60
"L POSLOVANJE Z NEPREMIÈNINAMI","2017M12",993.68
"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI","2017M12",1156.24
"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI","2017M12",743.11
"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI","2017M12",1261.79
"P IZOBRAŽEVANJE","2017M12",1125.58
"Q ZDRAVSTVO IN SOCIALNO VARSTVO","2017M12",1169.20
"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI","2017M12",1097.45
"S DRUGE DEJAVNOSTI","2017M12",895.82
